outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Male Population,Fatal,2.7,(1.56 - 3.88),5.11,(3.09 - 7.15),6.22,(4.2 - 8.25)
All-cause cancer,Male Population,Both,1.19,(0.36 - 2.06),2.88,(0.9 - 4.89),5.39,(1.8 - 8.92)
All-cause cancer,Female Population,Fatal,1.52,(0.64 - 2.43),3.45,(1.62 - 5.29),6.3,(3.94 - 8.66)
All-cause cancer,Female Population,Both,0.71,(0.28 - 1.16),1.73,(0.7 - 2.77),3.9,(1.82 - 5.98)
All-cause cvd,Male Population,Fatal,3.12,(1.53 - 4.74),7.62,(4.44 - 10.76),11.41,(9.26 - 13.57)
All-cause cvd,Male Population,Both,2.74,(1.54 - 3.98),6.56,(4.14 - 8.97),10.03,(8.18 - 11.9)
All-cause cvd,Female Population,Fatal,6.12,(3.53 - 8.79),12.8,(8.07 - 17.47),15.84,(11.77 - 19.89)
All-cause cvd,Female Population,Both,4.91,(2.44 - 7.48),10.37,(5.9 - 14.79),13.92,(10.7 - 17.19)
All-cause mortality,Male Population,Fatal,3.46,(2.53 - 4.42),6.94,(5.25 - 8.67),10.24,(8.13 - 12.36)
All-cause mortality,Male Population,Both,3.46,(2.53 - 4.42),6.94,(5.25 - 8.67),10.24,(8.13 - 12.36)
All-cause mortality,Female Population,Fatal,4.88,(3.55 - 6.3),8.98,(6.72 - 11.33),11.37,(8.66 - 14.14)
All-cause mortality,Female Population,Both,4.88,(3.55 - 6.3),8.98,(6.72 - 11.33),11.37,(8.66 - 14.14)
Breast cancer,Female Population,Both,0.42,(0.2 - 0.65),1.09,(0.57 - 1.62),2.52,(1.63 - 3.42)
Colon cancer,Male Population,Both,2.07,(0.78 - 3.48),4.13,(1.68 - 6.71),6.42,(3.07 - 9.85)
Colon cancer,Female Population,Both,0.67,(-0.44 - 1.87),1.39,(-0.8 - 3.68),2.25,(-0.55 - 5.11)
Coronary heart disease,Male Population,Fatal,5.93,(-0.09 - 12.18),9.02,(0.42 - 17.49),9.58,(2.06 - 17.12)
Coronary heart disease,Male Population,Both,2.99,(0.38 - 5.72),5.07,(0.74 - 9.44),6.15,(1.21 - 11.06)
Coronary heart disease,Female Population,Fatal,12.77,(7.19 - 18.48),18.28,(11.23 - 25.25),19.8,(13.49 - 26.07)
Coronary heart disease,Female Population,Both,7.1,(2.81 - 11.68),12.17,(4.98 - 19.42),14.6,(6.11 - 22.94)
Endometrial cancer,Female Population,Both,1.03,(0.23 - 1.93),2.6,(0.7 - 4.64),4.75,(1.87 - 7.74)
Rectum cancer,Male Population,Both,1.9,(-1.52 - 5.71),3.1,(-2.79 - 9.21),1.43,(-3.83 - 6.99)
Rectum cancer,Female Population,Both,-2.64,(-7.02 - 3.4),-4.66,(-10.03 - 2.64),-4.57,(-31.13 - 20.26)
Stroke,Male Population,Both,3.21,(1.72 - 4.8),6.12,(3.47 - 8.89),7.93,(4.87 - 11.07)
Stroke,Female Population,Both,4.71,(1.02 - 8.6),8.9,(2.92 - 14.91),12.79,(7.22 - 18.38)
