outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,3.47,(2.34 - 4.62),6.49,(4.57 - 8.41),8.68,(6.73 - 10.63)
All-cause cancer,Both,2.39,(1.5 - 3.3),4.77,(3.13 - 6.42),6.99,(5.06 - 8.91)
All-cause cvd,Fatal,6.05,(4.46 - 7.72),12.26,(9.4 - 15.16),17,(13.85 - 20.17)
All-cause cvd,Both,5.34,(3.99 - 6.74),10.91,(8.5 - 13.34),15.37,(12.97 - 17.79)
All-cause dementia,Non-fatal,6.48,(3.07 - 10.22),11.02,(5.55 - 16.69),11.97,(5.41 - 18.59)
All-cause dementia,Both,5.7,(3.18 - 8.4),9.66,(5.58 - 13.84),9.36,(4.99 - 13.79)
All-cause mortality,Fatal,10.11,(8.3 - 11.95),15.53,(12.99 - 18.05),18.47,(15.76 - 21.14)
All-cause mortality,Both,10.11,(8.3 - 11.95),15.53,(12.99 - 18.05),18.47,(15.76 - 21.14)
Alzheimer disease,Non-fatal,1.26,(-0.16 - 3.3),2.54,(-0.33 - 6.26),3.6,(-1 - 9.04)
Alzheimer disease,Both,4.39,(-0.69 - 9.75),7.75,(0.49 - 15.07),12.89,(3.38 - 22.05)
Bladder cancer,Both,1.89,(-0.38 - 4.32),3.15,(-0.18 - 6.61),3.08,(-0.26 - 6.56)
Breast cancer,Fatal,4.56,(-2.55 - 12.05),7.75,(-3.24 - 18.43),9.56,(0.67 - 18.52)
Breast cancer,Both,0.67,(0.31 - 1.05),1.59,(0.78 - 2.42),3.2,(1.84 - 4.57)
Colon cancer,Both,0.74,(0.11 - 1.43),1.75,(0.32 - 3.25),2.94,(0.88 - 5.05)
Coronary heart disease,Fatal,9.56,(5.86 - 13.32),14.86,(9.72 - 19.92),17.84,(12.54 - 23.04)
Coronary heart disease,Both,5.45,(3.92 - 7.03),10.19,(7.54 - 12.85),13.59,(10.47 - 16.7)
Depression,Non-fatal,1.94,(0.32 - 3.8),5.53,(1.55 - 9.66),4.85,(2.51 - 7.45)
Depression,Both,1.94,(0.32 - 3.8),5.53,(1.55 - 9.66),4.85,(2.51 - 7.45)
Depressive symptoms,Non-fatal,9.12,(4.47 - 13.95),11.49,(4.96 - 18.03),14.18,(4.08 - 23.73)
Depressive symptoms,Both,9.12,(4.47 - 13.95),11.49,(4.96 - 18.03),14.18,(4.08 - 23.73)
Endometrial cancer,Both,1.09,(0.25 - 2.01),2.6,(0.74 - 4.57),4.5,(1.87 - 7.22)
Esophageal cancer,Both,0.68,(-0.95 - 2.68),1.38,(-2.06 - 5.32),1.57,(-3.05 - 6.67)
Gastric cardia cancer,Both,1.95,(0.58 - 3.68),4.77,(1.58 - 8.57),6.77,(2.55 - 11.63)
Head and neck cancer,Both,10.59,(2.1 - 19.96),17.46,(3.68 - 30.98),19.83,(1.23 - 36.55)
Heart failure,Both,1.9,(0.92 - 3.01),4.1,(2.04 - 6.38),7.95,(4.15 - 11.93)
Kidney cancer,Both,-0.55,(-3.56 - 2.88),-1.08,(-6.13 - 4.39),-1.87,(-9.13 - 5.65)
Liver cancer,Both,3.49,(0.58 - 6.71),6.75,(1.44 - 12.31),10.27,(3.26 - 17.31)
Lung cancer,Fatal,5.69,(1.03 - 11.17),8.18,(1.74 - 15.46),5.22,(-5.24 - 16.53)
Lung cancer,Both,4.95,(3.29 - 6.69),7.93,(5.21 - 10.7),8.47,(2.27 - 14.51)
Myeloid leukemia,Both,4.93,(0.68 - 9.7),7.08,(1.65 - 12.94),7.57,(2.23 - 13.33)
Myeloma,Both,3.34,(0.9 - 6.26),6.76,(1.9 - 12.09),8.3,(1.91 - 14.99)
Parkinson disease,Non-fatal,3.42,(-1.51 - 9.18),7.8,(-0.87 - 16.92),17.38,(10.19 - 25.05)
Parkinson disease,Both,NA,(NaN - NaN),NA,(NaN - NaN),NA,(NaN - NaN)
Prostate cancer,Fatal,3.5,(-0.54 - 7.85),5.18,(-0.94 - 11.45),3.62,(-1.99 - 9.46)
Prostate cancer,Both,-0.11,(-0.48 - 0.28),-0.22,(-1.11 - 0.69),-0.12,(-1.62 - 1.39)
Rectum cancer,Both,0.72,(-0.24 - 1.75),1.33,(-0.64 - 3.36),0.42,(-2.03 - 2.93)
Stroke,Fatal,7.31,(2.06 - 12.77),11.72,(3.92 - 19.42),14.6,(5.94 - 22.98)
Stroke,Both,5.53,(3.96 - 7.15),9.77,(7.31 - 12.24),12.37,(9.63 - 15.1)
Vascular dementia,Both,2.64,(-1.91 - 9.91),5.2,(-3 - 16.1),11.07,(2.46 - 22.05)
