outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,2.37,(1.55 - 3.22),5.25,(3.54 - 6.98),9.11,(6.69 - 11.53)
All-cause cancer,Both,1.48,(0.94 - 2.04),3.58,(2.32 - 4.86),7.4,(5.12 - 9.67)
All-cause cvd,Fatal,4.26,(2.6 - 5.99),9.81,(6.27 - 13.35),15.83,(11.11 - 20.25)
All-cause cvd,Both,3.9,(2.66 - 5.19),9.11,(6.47 - 11.79),15.03,(11.67 - 18.29)
All-cause dementia,Non-fatal,5.04,(2.02 - 8.42),9.89,(4.21 - 15.82),11.33,(4.58 - 18.19)
All-cause dementia,Both,4.4,(2.2 - 6.8),8.65,(4.49 - 12.96),9.75,(4.91 - 14.69)
All-cause mortality,Fatal,7.71,(6.3 - 9.15),15.13,(12.56 - 17.68),22.03,(18.55 - 25.41)
All-cause mortality,Both,7.71,(6.3 - 9.15),15.13,(12.56 - 17.68),22.03,(18.55 - 25.41)
Alzheimer's disease,Non-fatal,0.79,(-0.27 - 2.38),1.76,(-0.61 - 4.98),4.05,(-1.48 - 10.55)
Alzheimer's disease,Both,0.5,(-0.1 - 1.19),4.5,(-0.15 - 9.29),10.47,(2.45 - 18.23)
Bladder cancer,Both,1.48,(-0.31 - 3.43),3.04,(-0.35 - 6.57),3.66,(-0.39 - 7.81)
Breast cancer,Fatal,4.3,(-0.85 - 9.78),8.15,(-1.37 - 17.4),10.73,(0 - 20.89)
Breast cancer,Both,0.51,(0.3 - 0.72),1.3,(0.79 - 1.82),3.12,(1.97 - 4.27)
Colon cancer,Both,0.56,(0.11 - 1.05),1.48,(0.31 - 2.72),3.13,(0.72 - 5.58)
Coronary heart disease,Fatal,5.42,(3.16 - 7.76),12.35,(7.6 - 17.07),21.14,(14.13 - 27.82)
Coronary heart disease,Both,3.8,(2.41 - 5.15),8.38,(5.48 - 11.11),14.3,(9.78 - 18.37)
Depression,Non-fatal,4.02,(2.66 - 5.46),9.42,(6.28 - 12.62),16,(10.33 - 21.5)
Depression,Both,4.02,(2.66 - 5.46),9.42,(6.28 - 12.62),16,(10.33 - 21.5)
Depressive symptoms,Non-fatal,5.74,(3.2 - 8.4),12.29,(6.98 - 17.58),20.56,(11.65 - 28.87)
Depressive symptoms,Both,5.74,(3.2 - 8.4),12.29,(6.98 - 17.58),20.56,(11.65 - 28.87)
Endometrial cancer,Both,0.79,(0.22 - 1.42),2.15,(0.62 - 3.78),4.93,(1.61 - 8.34)
Esophageal cancer,Both,0.34,(-0.78 - 1.74),0.83,(-1.97 - 4.14),1.58,(-3.83 - 7.53)
Gastric cardia cancer,Both,1.27,(0.45 - 2.33),3.75,(1.39 - 6.65),7.86,(3.14 - 13.3)
Head and neck cancer,Both,6.22,(1.34 - 11.7),13.66,(3.03 - 24.33),20.88,(0.3 - 38.39)
Heart failure,Both,1.59,(0.82 - 2.45),3.68,(1.93 - 5.6),8.17,(4.45 - 12.06)
Kidney cancer,Both,-0.8,(-2.8 - 1.54),-1.7,(-6.3 - 3.32),-2.77,(-12.17 - 6.63)
Liver cancer,Both,3.59,(1.17 - 6.26),7.57,(2.68 - 12.66),12.75,(5.46 - 19.94)
Lung cancer,Fatal,1.77,(0.17 - 3.69),3.83,(0.33 - 7.87),7.83,(0.31 - 15.88)
Lung cancer,Both,2.18,(0.13 - 4.65),4.53,(0.26 - 9.65),7.42,(0.25 - 17.78)
Major depression,Non-fatal,2.31,(0.97 - 3.85),6.8,(3.08 - 10.75),8.74,(2.98 - 14.59)
Major depression,Both,2.31,(0.97 - 3.85),6.8,(3.08 - 10.75),8.74,(2.98 - 14.59)
Myeloid leukemia,Both,3.11,(-0.55 - 7.32),6.39,(-0.71 - 13.76),7.51,(1.55 - 13.89)
Myeloma,Both,1.67,(-0.24 - 4.04),3.93,(-0.68 - 9.08),6.31,(-2.03 - 14.74)
Parkinson's disease,Non-fatal,2.87,(0.49 - 5.56),7.19,(1.85 - 12.81),16.95,(8.97 - 24.78)
Parkinson's disease,Both,2.75,(1.05 - 4.64),6.96,(2.92 - 11.17),15.91,(8.79 - 22.83)
Prostate cancer,Fatal,0.95,(-1.38 - 3.55),1.92,(-2.93 - 7.03),2.6,(-4.78 - 10.02)
Prostate cancer,Both,-0.08,(-0.34 - 0.19),-0.19,(-0.84 - 0.49),-0.26,(-1.66 - 1.17)
Rectum cancer,Both,0.47,(-0.39 - 1.41),1.11,(-1.07 - 3.4),1.26,(-2.97 - 5.5)
Stroke,Fatal,4.46,(1.01 - 8.16),10.4,(2.55 - 18.2),18.56,(5.22 - 30.67)
Stroke,Both,4.15,(2.91 - 5.43),8.99,(6.5 - 11.5),14.82,(11.02 - 18.58)
Vascular dementia,Both,1.33,(-1.41 - 5.87),3.08,(-3.11 - 11.55),8.99,(-2.81 - 21.94)
