outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,7.22,(4.07 - 10.46),11.37,(7.09 - 15.68),13.73,(9.38 - 18.06)
All-cause cancer,Both,5.67,(3.24 - 8.18),9.12,(5.51 - 12.76),11.12,(6.91 - 15.33)
All-cause cvd,Fatal,7.39,(4.41 - 10.67),13.83,(8.65 - 19.19),18.33,(12.26 - 24.43)
All-cause cvd,Both,6.43,(4.19 - 8.88),12.4,(8.41 - 16.54),17.18,(12.36 - 22.06)
All-cause mortality,Fatal,13.98,(10.35 - 17.65),18.49,(14.15 - 22.8),21.99,(17.4 - 26.5)
All-cause mortality,Both,13.98,(10.35 - 17.65),18.49,(14.15 - 22.8),21.99,(17.4 - 26.5)
Breast cancer,Fatal,5.76,(-7.05 - 18.15),10.13,(-7.74 - 26.09),16.07,(0.69 - 30.06)
Breast cancer,Both,0.79,(-0.05 - 1.67),1.78,(0.1 - 3.5),3.68,(1.45 - 5.94)
Colon cancer,Both,0.45,(-0.15 - 1.11),1.19,(-0.32 - 2.79),2.29,(-0.06 - 4.7)
Coronary heart disease,Fatal,11.28,(7.79 - 14.86),17.96,(12.89 - 22.99),19.77,(14.8 - 24.69)
Coronary heart disease,Both,6.26,(4.3 - 8.27),11.28,(8.23 - 14.33),14.97,(12.06 - 17.87)
Endometrial cancer,Both,2.23,(0.89 - 3.77),5.66,(2.38 - 9.23),10.82,(4.99 - 16.76)
Esophageal cancer,Both,1.86,(-1.08 - 5.71),3.7,(-2.48 - 10.93),3.96,(-4.07 - 12.86)
Gastric cardia cancer,Both,1.13,(-0.42 - 3.29),3.17,(-1.19 - 8.63),5.12,(-1.81 - 13.09)
Head and neck cancer,Both,11.66,(4.19 - 19.84),18.82,(6.67 - 30.81),20.07,(0.44 - 37.22)
Heart failure,Both,3.34,(1.34 - 5.78),6.25,(3.09 - 9.9),9.21,(5.86 - 12.84)
Kidney cancer,Both,5.61,(0.92 - 10.5),9.24,(2.27 - 16.16),11.73,(4.4 - 18.93)
Liver cancer,Both,4.62,(0.24 - 9.54),8.72,(0.79 - 16.97),12.86,(2.32 - 23.21)
Lung cancer,Both,8.01,(4.69 - 11.23),12.27,(6.66 - 17.64),10.52,(0.77 - 20.21)
Prostate cancer,Fatal,7.18,(-1.22 - 17.84),8.78,(-0.82 - 20.51),2.74,(-8.88 - 18.51)
Prostate cancer,Both,-0.23,(-0.9 - 0.48),-0.5,(-2.02 - 1.08),-0.65,(-3.1 - 1.85)
Rectum cancer,Both,2.07,(0.53 - 3.73),3.74,(0.9 - 6.66),2.69,(-0.19 - 5.66)
Stroke,Fatal,4.91,(0.69 - 9.42),8.21,(1.51 - 14.98),9.42,(2.67 - 16.23)
Stroke,Both,5.13,(3.29 - 7.03),9.31,(6.51 - 12.14),12.25,(9.45 - 15.08)
