outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Vascular dementia,Both,0.79,(0.49 - 1.27),0.68,(0.33 - 1.38),0.59,(0.28 - 1.26)
Stroke,Both,0.86,(0.83 - 0.89),0.8,(0.76 - 0.84),0.78,(0.71 - 0.86)
Stroke,Fatal,0.86,(0.76 - 0.96),0.78,(0.65 - 0.94),0.73,(0.59 - 0.91)
Rectum cancer,Both,0.96,(0.91 - 1.02),0.95,(0.86 - 1.04),0.96,(0.85 - 1.07)
Prostate cancer,Both,1,(0.99 - 1.02),1.01,(0.98 - 1.04),1.01,(0.97 - 1.05)
Prostate cancer,Fatal,0.95,(0.85 - 1.06),0.93,(0.79 - 1.09),0.94,(0.8 - 1.1)
Parkinson's disease,Both,0.88,(0.77 - 1.01),0.8,(0.65 - 1),0.72,(0.55 - 0.93)
Parkinson's disease,Non-fatal,0.88,(0.75 - 1.04),0.8,(0.61 - 1.03),0.68,(0.51 - 0.91)
Myeloma,Both,0.86,(0.76 - 0.98),0.79,(0.64 - 0.96),0.78,(0.62 - 0.98)
Myeloid leukemia,Both,0.85,(0.68 - 1.05),0.79,(0.59 - 1.05),0.77,(0.58 - 1.03)
Lung cancer,Both,0.87,(0.84 - 0.9),0.82,(0.77 - 0.87),0.86,(0.73 - 1.01)
Lung cancer,Fatal,0.91,(0.8 - 1.03),0.86,(0.71 - 1.04),0.83,(0.66 - 1.05)
Liver cancer,Both,0.88,(0.8 - 0.96),0.81,(0.7 - 0.94),0.76,(0.63 - 0.91)
Kidney cancer,Both,1.03,(0.92 - 1.15),1.05,(0.88 - 1.24),1.06,(0.84 - 1.34)
Heart failure,Both,0.91,(0.87 - 0.95),0.84,(0.77 - 0.91),0.75,(0.66 - 0.85)
Head and neck cancer,Both,0.72,(0.5 - 1.02),0.65,(0.42 - 1),0.61,(0.38 - 0.97)
Gastric cardia cancer,Both,0.88,(0.81 - 0.96),0.8,(0.69 - 0.92),0.73,(0.59 - 0.89)
Esophageal cancer,Both,0.96,(0.88 - 1.06),0.94,(0.8 - 1.1),0.93,(0.77 - 1.13)
Endometrial cancer,Both,0.94,(0.9 - 0.98),0.9,(0.83 - 0.97),0.86,(0.77 - 0.95)
Depressive symptoms,Both,0.83,(0.77 - 0.89),0.75,(0.66 - 0.84),0.71,(0.61 - 0.83)
Depressive symptoms,Non-fatal,0.83,(0.77 - 0.89),0.75,(0.66 - 0.84),0.71,(0.61 - 0.83)
Depression,Both,0.88,(0.79 - 0.98),0.82,(0.69 - 0.97),0.81,(0.66 - 0.99)
Depression,Non-fatal,0.88,(0.79 - 0.98),0.82,(0.69 - 0.97),0.81,(0.66 - 0.99)
Coronary heart disease,Both,0.86,(0.83 - 0.9),0.79,(0.74 - 0.84),0.75,(0.68 - 0.83)
Coronary heart disease,Fatal,0.81,(0.75 - 0.87),0.72,(0.64 - 0.8),0.67,(0.59 - 0.77)
Colon cancer,Both,0.95,(0.92 - 0.99),0.92,(0.87 - 0.98),0.9,(0.82 - 0.97)
Breast cancer,Both,0.97,(0.95 - 0.98),0.94,(0.91 - 0.97),0.91,(0.87 - 0.95)
Breast cancer,Fatal,0.86,(0.72 - 1.04),0.82,(0.64 - 1.04),0.83,(0.71 - 0.98)
Bladder cancer,Both,0.92,(0.82 - 1.02),0.9,(0.81 - 1.01),0.9,(0.76 - 1.07)
Alzheimer's disease,Both,0.86,(0.72 - 1.03),0.79,(0.62 - 1.01),0.73,(0.54 - 0.98)
Alzheimer's disease,Non-fatal,0.86,(0.72 - 1.02),0.78,(0.59 - 1.04),0.76,(0.53 - 1.08)
All-cause mortality,Both,0.76,(0.72 - 0.79),0.67,(0.63 - 0.72),0.65,(0.6 - 0.69)
All-cause mortality,Fatal,0.76,(0.72 - 0.79),0.67,(0.63 - 0.72),0.65,(0.6 - 0.69)
All-cause dementia,Both,0.77,(0.69 - 0.87),0.73,(0.63 - 0.84),0.8,(0.7 - 0.9)
All-cause dementia,Non-fatal,0.73,(0.61 - 0.88),0.69,(0.56 - 0.85),0.78,(0.65 - 0.93)
All-cause cvd,Both,0.82,(0.78 - 0.86),0.71,(0.66 - 0.77),0.66,(0.6 - 0.71)
All-cause cvd,Fatal,0.8,(0.75 - 0.85),0.69,(0.63 - 0.76),0.63,(0.57 - 0.7)
All-cause cancer,Both,0.93,(0.91 - 0.95),0.88,(0.85 - 0.92),0.84,(0.79 - 0.88)
All-cause cancer,Fatal,0.91,(0.88 - 0.93),0.85,(0.81 - 0.89),0.82,(0.78 - 0.86)
