outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Female Population,Both,0.9,(0.85 - 0.95),0.82,(0.75 - 0.9),0.73,(0.64 - 0.83)
Stroke,Male Population,Both,0.91,(0.88 - 0.94),0.84,(0.79 - 0.9),0.78,(0.71 - 0.86)
Rectum cancer,Female Population,Both,1.04,(0.92 - 1.17),1.07,(0.87 - 1.33),1.11,(0.82 - 1.52)
Rectum cancer,Male Population,Both,0.96,(0.84 - 1.09),0.93,(0.74 - 1.16),0.88,(0.61 - 1.27)
Endometrial cancer,Female Population,Both,0.95,(0.91 - 0.98),0.9,(0.84 - 0.97),0.85,(0.75 - 0.95)
Coronary heart disease,Female Population,Fatal,0.8,(0.7 - 0.91),0.69,(0.57 - 0.84),0.62,(0.48 - 0.79)
Coronary heart disease,Female Population,Both,0.89,(0.83 - 0.96),0.8,(0.69 - 0.92),0.67,(0.52 - 0.86)
Coronary heart disease,Male Population,Fatal,0.88,(0.75 - 1.02),0.82,(0.66 - 1.01),0.86,(0.71 - 1.03)
Coronary heart disease,Male Population,Both,0.96,(0.94 - 0.99),0.94,(0.89 - 0.99),0.88,(0.8 - 0.98)
Colon cancer,Female Population,Both,0.97,(0.92 - 1.01),0.94,(0.87 - 1.02),0.92,(0.83 - 1.02)
Colon cancer,Male Population,Both,0.91,(0.86 - 0.97),0.85,(0.77 - 0.95),0.81,(0.69 - 0.94)
Breast cancer,Female Population,Both,0.98,(0.97 - 0.99),0.96,(0.94 - 0.97),0.93,(0.9 - 0.95)
All-cause mortality,Female Population,Fatal,0.86,(0.83 - 0.9),0.77,(0.71 - 0.83),0.69,(0.64 - 0.76)
All-cause mortality,Female Population,Both,0.86,(0.83 - 0.9),0.77,(0.71 - 0.83),0.69,(0.64 - 0.76)
All-cause mortality,Male Population,Fatal,0.9,(0.87 - 0.93),0.82,(0.77 - 0.87),0.72,(0.66 - 0.79)
All-cause mortality,Male Population,Both,0.9,(0.87 - 0.93),0.82,(0.77 - 0.87),0.72,(0.66 - 0.79)
All-cause cvd,Female Population,Fatal,0.8,(0.72 - 0.88),0.69,(0.59 - 0.8),0.66,(0.6 - 0.74)
All-cause cvd,Female Population,Both,0.83,(0.76 - 0.9),0.73,(0.63 - 0.83),0.69,(0.62 - 0.76)
All-cause cvd,Male Population,Fatal,0.9,(0.88 - 0.92),0.83,(0.8 - 0.87),0.76,(0.72 - 0.8)
All-cause cvd,Male Population,Both,0.91,(0.89 - 0.93),0.84,(0.81 - 0.87),0.76,(0.73 - 0.8)
All-cause cancer,Female Population,Fatal,0.96,(0.93 - 0.99),0.92,(0.87 - 0.97),0.86,(0.8 - 0.94)
All-cause cancer,Female Population,Both,0.97,(0.96 - 0.99),0.95,(0.92 - 0.98),0.91,(0.87 - 0.96)
All-cause cancer,Male Population,Fatal,0.93,(0.9 - 0.96),0.87,(0.82 - 0.93),0.81,(0.74 - 0.89)
All-cause cancer,Male Population,Both,0.97,(0.95 - 0.99),0.95,(0.91 - 0.98),0.91,(0.86 - 0.97)
