outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Vascular dementia,Both,0.89,(0.67 - 1.19),0.81,(0.5 - 1.32),0.71,(0.39 - 1.29)
Stroke,Both,0.88,(0.85 - 0.91),0.81,(0.76 - 0.85),0.76,(0.71 - 0.81)
Stroke,Fatal,0.86,(0.76 - 0.97),0.78,(0.65 - 0.94),0.73,(0.59 - 0.91)
Rectum cancer,Both,0.97,(0.93 - 1.02),0.96,(0.89 - 1.03),0.96,(0.87 - 1.06)
Prostate cancer,Both,1,(0.99 - 1.02),1.01,(0.98 - 1.03),1.01,(0.97 - 1.05)
Prostate cancer,Fatal,0.95,(0.87 - 1.04),0.92,(0.8 - 1.06),0.92,(0.79 - 1.08)
Parkinson's disease,Both,0.89,(0.8 - 0.99),0.81,(0.68 - 0.97),0.73,(0.59 - 0.9)
Parkinson's disease,Non-fatal,0.9,(0.77 - 1.05),0.81,(0.64 - 1.04),0.69,(0.53 - 0.9)
Myeloma,Both,0.89,(0.79 - 1),0.82,(0.67 - 1.01),0.78,(0.59 - 1.03)
Myeloid leukemia,Both,0.84,(0.72 - 0.98),0.77,(0.62 - 0.96),0.76,(0.62 - 0.94)
Major depression,Both,0.85,(0.78 - 0.93),0.77,(0.67 - 0.88),0.74,(0.62 - 0.89)
Major depression,Non-fatal,0.85,(0.78 - 0.93),0.77,(0.67 - 0.88),0.74,(0.62 - 0.89)
Lung cancer,Both,0.9,(0.87 - 0.93),0.84,(0.79 - 0.89),0.81,(0.73 - 0.91)
Lung cancer,Fatal,0.93,(0.88 - 0.99),0.89,(0.79 - 0.99),0.83,(0.7 - 0.99)
Liver cancer,Both,0.9,(0.83 - 0.97),0.82,(0.72 - 0.94),0.75,(0.63 - 0.89)
Kidney cancer,Both,1.02,(0.94 - 1.11),1.04,(0.91 - 1.18),1.05,(0.88 - 1.26)
Heart failure,Both,0.93,(0.89 - 0.96),0.86,(0.81 - 0.92),0.78,(0.7 - 0.87)
Head and neck cancer,Both,0.77,(0.63 - 0.94),0.66,(0.48 - 0.91),0.63,(0.42 - 0.94)
Gastric cardia cancer,Both,0.89,(0.82 - 0.96),0.8,(0.7 - 0.92),0.73,(0.6 - 0.88)
Esophageal cancer,Both,0.98,(0.91 - 1.05),0.96,(0.85 - 1.08),0.95,(0.8 - 1.12)
Endometrial cancer,Both,0.95,(0.92 - 0.99),0.91,(0.86 - 0.97),0.87,(0.79 - 0.95)
Depressive symptoms,Both,0.83,(0.77 - 0.9),0.74,(0.65 - 0.84),0.69,(0.58 - 0.82)
Depressive symptoms,Non-fatal,0.83,(0.77 - 0.9),0.74,(0.65 - 0.84),0.69,(0.58 - 0.82)
Depression,Both,0.85,(0.81 - 0.89),0.76,(0.7 - 0.83),0.72,(0.64 - 0.81)
Depression,Non-fatal,0.85,(0.81 - 0.89),0.76,(0.7 - 0.83),0.72,(0.64 - 0.81)
Coronary heart disease,Both,0.88,(0.85 - 0.91),0.8,(0.76 - 0.85),0.74,(0.69 - 0.8)
Coronary heart disease,Fatal,0.83,(0.77 - 0.89),0.74,(0.66 - 0.82),0.68,(0.6 - 0.78)
Colon cancer,Both,0.96,(0.93 - 0.99),0.93,(0.88 - 0.99),0.9,(0.84 - 0.98)
Breast cancer,Both,0.97,(0.96 - 0.99),0.95,(0.93 - 0.97),0.92,(0.89 - 0.95)
Breast cancer,Fatal,0.9,(0.77 - 1.04),0.83,(0.66 - 1.05),0.82,(0.66 - 1.01)
Bladder cancer,Both,0.94,(0.86 - 1.02),0.91,(0.81 - 1.01),0.91,(0.81 - 1.01)
Alzheimer's disease,Both,0.91,(0.82 - 1.02),0.85,(0.71 - 1.02),0.78,(0.61 - 0.99)
Alzheimer's disease,Non-fatal,0.91,(0.8 - 1.04),0.85,(0.68 - 1.07),0.8,(0.59 - 1.09)
All-cause mortality,Both,0.78,(0.75 - 0.81),0.7,(0.66 - 0.74),0.66,(0.62 - 0.71)
All-cause mortality,Fatal,0.78,(0.75 - 0.81),0.7,(0.66 - 0.74),0.66,(0.62 - 0.71)
All-cause dementia,Both,0.83,(0.76 - 0.9),0.75,(0.66 - 0.86),0.75,(0.66 - 0.86)
All-cause dementia,Non-fatal,0.8,(0.71 - 0.91),0.72,(0.6 - 0.86),0.71,(0.58 - 0.85)
All-cause cvd,Both,0.85,(0.81 - 0.88),0.75,(0.7 - 0.8),0.68,(0.63 - 0.73)
All-cause cvd,Fatal,0.83,(0.79 - 0.87),0.73,(0.67 - 0.78),0.65,(0.6 - 0.71)
All-cause cancer,Both,0.95,(0.93 - 0.97),0.91,(0.88 - 0.94),0.87,(0.83 - 0.91)
All-cause cancer,Fatal,0.93,(0.9 - 0.95),0.88,(0.84 - 0.91),0.83,(0.79 - 0.87)
