outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Female Population,Both,0.91,(0.86 - 0.96),0.84,(0.76 - 0.92),0.75,(0.65 - 0.87)
Stroke,Male Population,Both,0.92,(0.9 - 0.95),0.87,(0.82 - 0.92),0.8,(0.74 - 0.87)
Rectum cancer,Female Population,Both,1.04,(0.95 - 1.14),1.07,(0.9 - 1.27),1.09,(0.81 - 1.48)
Rectum cancer,Male Population,Both,0.98,(0.89 - 1.07),0.96,(0.81 - 1.13),0.93,(0.71 - 1.22)
Endometrial cancer,Female Population,Both,0.96,(0.93 - 0.99),0.92,(0.87 - 0.97),0.87,(0.79 - 0.95)
Coronary heart disease,Female Population,Fatal,0.83,(0.73 - 0.94),0.72,(0.59 - 0.88),0.63,(0.5 - 0.8)
Coronary heart disease,Female Population,Both,0.91,(0.85 - 0.97),0.83,(0.73 - 0.93),0.71,(0.57 - 0.88)
Coronary heart disease,Male Population,Fatal,0.9,(0.8 - 1.01),0.84,(0.7 - 1),0.81,(0.67 - 0.98)
Coronary heart disease,Male Population,Both,0.97,(0.94 - 0.99),0.94,(0.9 - 0.99),0.9,(0.82 - 0.98)
Colon cancer,Female Population,Both,0.97,(0.93 - 1.01),0.95,(0.88 - 1.02),0.92,(0.84 - 1.02)
Colon cancer,Male Population,Both,0.92,(0.88 - 0.96),0.86,(0.8 - 0.93),0.8,(0.72 - 0.89)
Breast cancer,Female Population,Both,0.98,(0.97 - 0.99),0.96,(0.95 - 0.98),0.93,(0.91 - 0.96)
All-cause mortality,Female Population,Fatal,0.89,(0.86 - 0.92),0.8,(0.76 - 0.85),0.73,(0.67 - 0.78)
All-cause mortality,Female Population,Both,0.89,(0.86 - 0.92),0.8,(0.76 - 0.85),0.73,(0.67 - 0.78)
All-cause mortality,Male Population,Fatal,0.91,(0.89 - 0.93),0.84,(0.81 - 0.87),0.77,(0.73 - 0.81)
All-cause mortality,Male Population,Both,0.91,(0.89 - 0.93),0.84,(0.81 - 0.87),0.77,(0.73 - 0.81)
All-cause cvd,Female Population,Fatal,0.83,(0.77 - 0.91),0.73,(0.64 - 0.83),0.66,(0.58 - 0.76)
All-cause cvd,Female Population,Both,0.86,(0.79 - 0.93),0.76,(0.67 - 0.87),0.69,(0.61 - 0.78)
All-cause cvd,Male Population,Fatal,0.89,(0.84 - 0.95),0.81,(0.74 - 0.9),0.75,(0.68 - 0.82)
All-cause cvd,Male Population,Both,0.91,(0.9 - 0.93),0.85,(0.82 - 0.88),0.78,(0.74 - 0.82)
All-cause cancer,Female Population,Fatal,0.97,(0.95 - 0.98),0.93,(0.9 - 0.97),0.88,(0.83 - 0.94)
All-cause cancer,Female Population,Both,0.98,(0.97 - 0.99),0.96,(0.94 - 0.98),0.93,(0.89 - 0.97)
All-cause cancer,Male Population,Fatal,0.95,(0.93 - 0.97),0.9,(0.87 - 0.94),0.85,(0.79 - 0.9)
All-cause cancer,Male Population,Both,0.98,(0.96 - 0.99),0.95,(0.92 - 0.99),0.92,(0.86 - 0.97)
