outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Both,0.86,(0.82 - 0.91),0.79,(0.74 - 0.85),0.75,(0.7 - 0.81)
Stroke,Fatal,0.86,(0.75 - 0.98),0.81,(0.67 - 0.96),0.79,(0.66 - 0.95)
Rectum cancer,Both,0.9,(0.84 - 0.97),0.87,(0.78 - 0.96),0.88,(0.79 - 0.98)
Prostate cancer,Both,1.01,(0.98 - 1.04),1.02,(0.97 - 1.07),1.02,(0.95 - 1.1)
Prostate cancer,Fatal,0.85,(0.7 - 1.04),0.83,(0.66 - 1.03),0.91,(0.69 - 1.19)
Lung cancer,Both,0.78,(0.68 - 0.9),0.7,(0.57 - 0.87),0.73,(0.56 - 0.94)
Liver cancer,Both,0.89,(0.8 - 0.99),0.82,(0.68 - 0.98),0.76,(0.6 - 0.96)
Kidney cancer,Both,0.89,(0.8 - 0.99),0.83,(0.72 - 0.96),0.8,(0.68 - 0.94)
Heart failure,Both,0.85,(0.79 - 0.92),0.76,(0.69 - 0.85),0.7,(0.62 - 0.77)
Head and neck cancer,Both,0.72,(0.59 - 0.88),0.63,(0.47 - 0.84),0.61,(0.41 - 0.91)
Gastric cardia cancer,Both,0.9,(0.78 - 1.05),0.84,(0.66 - 1.08),0.79,(0.57 - 1.1)
Esophageal cancer,Both,0.91,(0.78 - 1.06),0.86,(0.67 - 1.11),0.85,(0.63 - 1.16)
Endometrial cancer,Both,0.9,(0.84 - 0.95),0.82,(0.73 - 0.91),0.73,(0.62 - 0.87)
Coronary heart disease,Both,0.84,(0.8 - 0.88),0.76,(0.7 - 0.82),0.71,(0.66 - 0.77)
Coronary heart disease,Fatal,0.73,(0.67 - 0.8),0.65,(0.57 - 0.73),0.63,(0.56 - 0.71)
Colon cancer,Both,0.97,(0.93 - 1.01),0.94,(0.87 - 1.02),0.92,(0.84 - 1.01)
Breast cancer,Both,0.97,(0.94 - 1),0.95,(0.9 - 1),0.92,(0.86 - 0.98)
Breast cancer,Fatal,0.91,(0.74 - 1.12),0.86,(0.65 - 1.13),0.79,(0.6 - 1.02)
All-cause mortality,Both,0.69,(0.63 - 0.76),0.63,(0.56 - 0.71),0.6,(0.53 - 0.68)
All-cause mortality,Fatal,0.69,(0.63 - 0.76),0.63,(0.56 - 0.71),0.6,(0.53 - 0.68)
All-cause cvd,Both,0.77,(0.72 - 0.83),0.66,(0.58 - 0.74),0.59,(0.51 - 0.68)
All-cause cvd,Fatal,0.76,(0.68 - 0.84),0.64,(0.54 - 0.75),0.57,(0.47 - 0.69)
All-cause cancer,Both,0.89,(0.85 - 0.94),0.85,(0.79 - 0.91),0.83,(0.77 - 0.89)
All-cause cancer,Fatal,0.87,(0.82 - 0.92),0.81,(0.75 - 0.88),0.79,(0.74 - 0.85)
