study,authors,year,ref_number,location,study_design,pop_source,sampl_method,n_baseline,overall,prop_male,sex_subgroups,Description,mean_age_base,sd_age_base,lci_age_base,uci_age_base,age_subgroup,weight_cat_subgroup,occup_cat_subgroup,pa_domain_subgroup,age_range,menopausal_status,menopausal_def,smoking_subgroup,smoking_def,mean_followup,sd_followup,tot_personyrs,outcome,outcome_type,outcome_def,pa_tool,pa_unit,pa_cat_def,other_pa_domains,outcome_tool_baseline,outcome_tool_followup,pa_cat1,pa_cat2,pa_cat3,pa_cat4,pa_cat5,pa_cat6,pa_cat7,pa_cat8,pa_cat9,pa_cat10,MET.hr/wk_cat1,MET.hr/wk_cat2,MET.hr/wk_cat3,MET.hr/wk_cat4,MET.hr/wk_cat5,MET.hr/wk_cat6,MET.hr/wk_cat7,MET.hr/wk_cat8,MET.hr/wk_cat9,MET.hr/wk_cat10,MMET.hr/wk_cat1,MMET.hr/wk_cat2,MMET.hr/wk_cat3,MMET.hr/wk_cat4,MMET.hr/wk_cat5,MMET.hr/wk_cat6,MMET.hr/wk_cat7,MMET.hr/wk_cat8,MMET.hr/wk_cat9,MMET.hr/wk_cat10,Alt_METvalue_subgroup,Alt_MET.hr/wk_cat1,Alt_MET.hr/wk_cat2,Alt_MET.hr/wk_cat3,Alt_MET.hr/wk_cat4,Alt_MET.hr/wk_cat5,Alt_MET.hr/wk_cat6,Alt_MET.hr/wk_cat7,Alt_MET.hr/wk_cat8,Alt_MET.hr/wk_cat9,Alt_MMET.hr/wk_cat1,Alt_MMET.hr/wk_cat2,Alt_MMET.hr/wk_cat3,Alt_MMET.hr/wk_cat4,Alt_MMET.hr/wk_cat5,Alt_MMET.hr/wk_cat6,Alt_MMET.hr/wk_cat7,Alt_MMET.hr/wk_cat8,Alt_MMET.hr/wk_cat9,tot_cases,cases1,cases2,cases3,cases4,cases5,cases6,cases7,cases8,cases9,cases10,personyrs1,personyrs2,personyrs3,personyrs4,personyrs5,personyrs6,personyrs7,personyrs8,personyrs9,personyrs10,totalpersons1,totalpersons2,totalpersons3,totalpersons4,totalpersons5,totalpersons6,totalpersons7,totalpersons8,totalpersons9,totalpersons10,effect_measure,adjustments,effect1,lci_effect1,uci_effect1,effect2,lci_effect2,uci_effect2,effect3,lci_effect3,uci_effect3,effect4,lci_effect4,uci_effect4,effect5,lci_effect5,uci_effect5,effect6,lci_effect6,uci_effect6,effect7,lci_effect7,uci_effect7,effect8,lci_effect8,uci_effect8,effect9,lci_effect9,uci_effect9,effect10,lci_effect10,uci_effect10,adjustments1,effect1_adj1,lci_effect1_adj1,uci_effect1_adj1,effect2_adj1,lci_effect2_adj1,uci_effect2_adj1,effect3_adj1,lci_effect3_adj1,uci_effect3_adj1,effect4_adj1,lci_effect4_adj1,uci_effect4_adj1,effect5_adj1,lci_effect5_adj1,uci_effect5_adj1,effect6_adj1,lci_effect6_adj1,uci_effect6_adj1,effect7_adj1,lci_effect7_adj1,uci_effect7_adj1,effect8_adj1,lci_effect8_adj1,uci_effect8_adj1,effect9_adj1,lci_effect9_adj1,uci_effect9_adj1,effect10_adj1,lci_effect10_adj1,uci_effect10_adj1,METhday,obs,EM,,,,,,
45 and Up Study,Gebel et al.,2015,1,Australia,Prospective cohort,"The Sax Institute’s 45 and Up study is a large prospective cohort
study of men and women from the general population of
the state ofNewSouthWales,Australia","Individuals 45 years and
olderwere randomly sampled from theMedicare Australia database,
through which national health care is administered and
includes all citizens and permanent residents of Australia and
sometemporary residentsandrefugees",217755,1,0.45,3,1 row,,,,,,,,LTPA,45-75,,,,,6.52,1.23,1444927.0,all-cause mortality,mortality,,Questionnaire,min/wk,"TotalMVPAwas calculated
using the guidelines provided for Active Australia
questions and then categorized as 0, 10 to 149, 150 to 299,
and 300 min/wk or more",None,,"Allcause mortality was based on data fromthe New SouthWales
Registryof Births,Deaths,andMarriages fromFebruary1,2006,
through June 15, 2014. The mortality data were linked to the
baseline data from45 and Up by the Centre for Health Record
Linkage using probabilistic record linkage methods and commercially
available software",0,10-149,150-299, ?300,,,,,,,0.00,5.96,16.83,28.08,,,,,,,0.00,4.64,13.09,21.84,,,,,,,1,0.00,4.64,13.09,21.84,,,,,,0.00,3.31,9.35,15.60,,,,,,7435,1102,1639,1120,3574,,,,,,,86148.76,222025.6,230169,881419.2,,,,,,,,,,,,,,,,,hr,"Age, sex, education, marital status, urban/rural residence, smoking status, weight status, physical function, alcohol consumption, fruit and vegetable intake",1.00,,,0.66,0.61,0.71,0.53,0.48,0.57,0.46,0.43,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerobics Center Longitudinal Study,Artero et al.,2012,2,US,Prospective cohort study,"individuals who underwent extensive preventive medical evaluation at the Cooper Clinic (Dallas, TX)",Participants were unpaid volunteers sent by their employers or physicians or were self-referred,11993,1,0.76,3,2 rows: 2 outcomes,46.00,9.9,,,,,,LTPA,,,,,,11.60,,138909.0,CVD,mortality,"The underlying cause of death was determined from the index or by nosologist review of official death certificates obtained from the department of vital records in the decedent’s state of residence. Death due to CVD was defined using International Classification of Diseases, Ninth Revision (ICD-9)
codes 390 to 449.9 before 1999, and ICD, Tenth Revision (ICD-10) codes I00 to I78 during 1999-2003",questionnaire,MET-min/wk,"All participants were classified into 3 categories
on the basis of the 2008 Physical Activity Guidelines for Americans: inactive (0 MET-min/wk), insufficient (1-499 MET-min/wk), and recommended (? 500 MET-min/wk)",,,,0,1-499,? 500,,,,,,,,0.00,4.20,27.55,,,,,,,,0.00,3.35,23.64,,,,,,,,0,,,,,,,,,,,,,,,,,,,70,22,8,40,,,,,,,,na,na,na,,,,,,,,3135,1531,7092,,,,,,,,hr," age, sex, examination year, alcohol intake (heavy drinker or not), parental history of CVD, plus other cardiovascular health metrics (poor, intermediate, or ideal for each).",1.00,,,0.61,0.27,1.38,0.87,0.50,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the authors presented only one model for PA groups,,,,,,,
Aerobics Center Longitudinal Study,Artero et al.,2012,2,"Dallas, Texas, United States",Prospective cohort,"Predominantly white, well edu- cated, and within the middle to upper socioeco- nomic strata, aged 20y or older from Texas","Participants were unpaid volunteers sent by their employers or physicians or were self-referred. The present study included all participants aged 20 years or older with available complete informa- tion about all cardiovascular health behaviors (smoking, BMI, physical activity, and diet) and car- diovascular health factors (total cholesterol concen- tration, blood pressure, and glucose concentration). Of 14,372 participants, we excluded those with a history of CVD (heart attack or stroke) (n??265 [1.8%]) or cancer (n??835 [5.8%]), those with ab- normal findings on electrocardiography (n??1137 [7.9%]); those who were underweight (BMI ??18.5 kg/m2) (n??131 [0.09%]), and those with less than 1 year of follow-up (n??11 [0.07%]).",11993,1,0.76,3,2 rows: 2 outcomes,46.00,9.9,,,,,,LTPA,20 - 88,,,,,11.60,,138909.0,total cancer,mortality,"The National Death Index was the primary data source for mortality surveillance, augmented with death certificates. The National Death Index is an accurate method of ascertaining deaths in observational studies, with high sensitivity (96%) and specificity (100%).19 The underlying cause of death was determined from the index or by nosologist review of official death certificates obtained from the department of vital records in the decedent’s state of residence. Death due to cancer was defined by ICD-9 codes 140 to 208 and ICD-10 codes C00 to C97.","A formerly validated question- naire was used to assess self-reported leisure-time physical activity over the past 3 months.15 We cre- ated physical activity categories on the basis of re- sponses to 10 specific activities: walking, jogging, running, treadmill exercise, cycling, stationary cy- cling, swimming, racquet sports, aerobic dance, and other sports-related activities (eg, basketball and soccer). Additional questions about the frequency (number of workouts per week) and duration (min- utes of workout per session) of physical activity were also asked. The intensity of activities was esti- mated via speed-specific or activity-specific meta- bolic equivalent (MET) values from the Compen- dium of Physical Activities.16 The MET value for a given speed or activity was multiplied by the fre- quency and the duration and summed over all ac- tivities, resulting in total MET-minutes per week of physical activity.",MET-min/wk,"All participants were classified into 3 categories on the basis of the 2008 Physical Activity Guidelines for Americans17: inactive (0 MET-min/wk), insuffi- cient (1-499 MET-min/wk), and recommended (??500 MET-min/wk). Five hundred MET-minutes per week is equivalent to 150 minutes per week of moderately intense activity or 75 minutes per week of vigorous activity.17",,,,0,1-499,?500,,,,,,,,0.00,4.20,27.55,,,,,,,,0.00,3.35,23.64,,,,,,,,0,,,,,,,,,,,,,,,,,,,127,31,20,76,,,,,,,,,,,,,,,,,,3144,1543,7128,,,,,,,,hr,"Adjusted for age, sex, examination year, alcohol intake (heavy drinker or not), parental history of CVD, plus other cardiovascular health metrics (poor, intermediate, or ideal for each)",1.00,,,0.99,0.56,1.76,0.92,0.59,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aerobics centre longitudinal study, US",Lee et al.,2011,3,US,Prospective cohort,"Men and women who received preventive medical
examinations during 1978–2002","Among 50 244 participants aged 20–82 years at baseline,
we selected relatively healthy participants without a history
or clinical evidence of cardiovascular disease (CVD) or cancer
(n=3588), or abnormal resting or exercise electrocardiogram
(n=4027). In addition, participants who did not achieve at least
85% of their age-predicted maximal heart rate (220 minus age
in years) on the treadmill test (n=1004) or had <1 year of follow-
up (n=39) were excluded",31818,0,1.00,1,"2 rows: m, f",43.30,9.2,,,,,,LTPA,20 -82,,,,,14.60,,450742.0,all-cause mortality,mortality,Mortality follow-up was completed until the date of death for decedents or 31 December 2003 for survivors using the National Death Index,Questionnaire,MET-min/wk,"We created PA categories based on responses to 10 specifi c activities: walking, jogging, running, treadmill exercise, cycling, stationary cycling, swimming, racquet
sports, aerobic dance and other sports-related activities (eg, basketball or soccer). All participants were classifi ed into three PA categories based on the PA Guidelines Advisory Committee Report22: “inactive (0 MET-minutes/week)”, “insufficient (1–499 MET-minutes/week)” and “recommended (?500 MET-minutes/week)",None,,National Death Index,0,1-499,>500,,,,,,,,0.00,4.27,27.63,,,,,,,,0.00,3.50,24.18,,,,,,,,0,,,,,,,,,,,,,,,,,,,1492,779,279,434,,,,,,,,203666,83598,178189,,,,,,,,,,,,,,,,,,rr,"Adjusted for age, examination year, body mass index, hypertension, diabetes, hypercholesterolemia, parental cardiovascular disease, cardiorespiratory fitness, smoking status",1.00,,,0.99,0.86,1.14,1.05,0.91,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aerobics centre longitudinal study, US",Lee et al.,2011,3,US,Prospective cohort,"Men and women who received preventive medical
examinations during 1978–2002","Among 50 244 participants aged 20–82 years at baseline,
we selected relatively healthy participants without a history
or clinical evidence of cardiovascular disease (CVD) or cancer
(n=3588), or abnormal resting or exercise electrocardiogram
(n=4027). In addition, participants who did not achieve at least
85% of their age-predicted maximal heart rate (220 minus age
in years) on the treadmill test (n=1004) or had <1 year of follow-
up (n=39) were excluded",10555,0,0.00,2,"2 rows: m, f",42.80,10.1,,,,,,LTPA,20 -82,,,,,12.80,,149524.0,all-cause mortality,mortality,Mortality follow-up was completed until the date of death for decedents or 31 December 2003 for survivors using the National Death Index,Questionnaire,MET-min/wk,"We created PA categories based on responses to 10 specifi c activities: walking, jogging, running, treadmill exercise, cycling, stationary cycling, swimming, racquet
sports, aerobic dance and other sports-related activities (eg, basketball or soccer). All participants were classifi ed into three PA categories based on the PA Guidelines Advisory Committee Report22: “inactive (0 MET-minutes/week)”, “insufficient (1–499 MET-minutes/week)” and “recommended (?500 MET-minutes/week)",None,,National Death Index,0,,,,,,,,,,0.00,4.12,27.47,,,,,,,,0.00,3.19,23.10,,,,,,,,0,,,,,,,,,,,,,,,,,,,230,129,46,55,,,,,,,,60155,26457,48201,,,,,,,,,,,,,,,,,,rr,"Adjusted for age, examination year, body mass index, hypertension, diabetes, hypercholesterolemia, parental cardiovascular disease, cardiorespiratory fitness, smoking status",1.00,,,0.98,0.69,1.38,0.95,0.67,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGES - Reykjavik Study,Chang et al,2010,4,Iceland (Reykjavik),Prospective Cohort,General population of Reykjavik,Participants are from the cohort of men and women born in 1907–1935 living in Reykjavik,4761,1,0.42,3,1 row,,,,,,,,LTPA,,,,,,26.00,,NR,dementia,incidence,,"At the midlife RS interview, participants were asked two questions related to PA. First, participants were asked about whether they had ever regularly participated in sports or exercised at any time during their adult life. Participants who answered “yes” to this question were then asked a second question about how many hours per week they exercised during winter and summer time (three categories to answer, [1] none, [2] ?5 hours, and [3] >5 hours). ",Hours/week,Hours of PA per week calculated from the total sum of hours in winter and summer.,,"First, the digit symbol substitution test and the Mini-Mental State Examination were adminis-tered to the total sample. Participants who scored 23 or lower on the Mini-Mental State Examination or had a raw score of 17 or lower on the digit symbol substitution test were administered a second diagnostic cognitive test bat-tery. Participants who scored 8 or more on Trails B  that was the ratio of time taken for “Trails B/Trails A” (corrected for the number correct: [{time Trails B/number correct Trails B}/{time Trails A/number correct Trails A}]) or had lower than total score of 19 for the four immediate recall trials of the Rey Auditory Verbal Learning went on to a third step. This step included a neurological test and a proxy interview regarding medical history, social, cognitive, and daily functioning changes of the participant. A consensus diagnosis of dementia was made according to international guidelines, Diagnostic and Statistical Manual of Mental Disorder, Fourth Edition (DSM-IV) by a geriatrician, neurologist, neuropsychologist, and neuroradiologist","First, the digit symbol substitution test and the Mini-Mental State Examination were adminis-tered to the total sample. Participants who scored 23 or lower on the Mini-Mental State Examination or had a raw score of 17 or lower on the digit symbol substitution test were administered a second diagnostic cognitive test bat-tery. Participants who scored 8 or more on Trails B  that was the ratio of time taken for “Trails B/Trails A” (corrected for the number correct: [{time Trails B/number correct Trails B}/{time Trails A/number correct Trails A}]) or had lower than total score of 19 for the four immediate recall trials of the Rey Auditory Verbal Learning went on to a third step. This step included a neurological test and a proxy interview regarding medical history, social, cognitive, and daily functioning changes of the participant. A consensus diagnosis of dementia was made according to international guidelines, Diagnostic and Statistical Manual of Mental Disorder, Fourth Edition (DSM-IV) by a geriatrician, neurologist, neuropsychologist, and neuroradiologist",None,<=5 hrs/week,>=5 hrs per week,,,,,,,,0.00,11.25,33.75,,,,,,,,0.00,8.75,26.25,,,,,,,,1,0.00,8.75,26.25,,,,,,,0.00,6.25,18.75,,,,,,,184,145,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,"Model 1 - adjusted for age, sex and education",1.00,,,0.59,0.40,0.87,0.74,0.34,1.62,,,,,,,,,,,,,,,,,,,,,," Model 2 = additionally adjusted for midlife body mass index, systolic blood pressure, smoking, and cholesterol. ",1,,,0.59,0.4,0.88,0.76,0.34,1.63,,,,,,,,,,,,,,,,,,,,,,,"*Values calculated from text

Also reports OR for cognitive performance (Speed of processing, Memory, Executive function

",,,,,,,
Atherosclerosis Risk in Communities Study,Autenrieth et al,2013,5,US,Prospective cohort study,"members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",13069,1,0.44,3,"6 rows - 3 for LTPA: total, m, f",54.00,5.8,,,,,,LTPA,,,,,,18.80,,127563.5,stroke,incidence,"If a CT or MRI revealed acute brain infarction or showed no evidence of hemorrhage, a stroke was categorized as ischemic.",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.63,16.88,,,,,,,,0.00,4.38,13.13,,,,,,,,1,0.00,4.38,13.13,,,,,,,0.00,3.13,9.38,,,,,,,648,430,135,83,,,,,,,,127563.6,57653.9,40773.3,,,,,,,,,,,,,,,,,,hr,"age, sex and race-center",1.00,,,0.82,0.67,1.00,0.70,0.55,0.89,,,,,,,,,,,,,,,,,,,,,,"age, sex, race-field center, cigarette-years, educational level, waist-to-hip ratio, systolic blood pressure, antihypertensive medication use, diabetes, left ventricular hypertrophy, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, lipoprotein(a), fibrinogen, van Willebrand factor and white blood cell count",1,,,0.93,0.76,1.14,0.84,0.65,1.07,,,,,,,,,,,,,,,,,,,,,,,model 1 and fully adjusted model was included,,,,,,,
Atherosclerosis Risk in Communities Study,Autenrieth et al,2013,5,US,Prospective cohort study,"members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",5626,0,1.00,1,"6 rows - 3 for LTPA: total, m, f",,,,,,,,LTPA,,,,,,18.80,,46084.1,stroke,incidence,"If a CT or MRI revealed acute brain infarction or showed no evidence of hemorrhage, a stroke was categorized as ischemic.",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.63,16.88,,,,,,,,0.00,4.38,13.13,,,,,,,,1,0.00,4.38,13.13,,,,,,,0.00,3.13,9.38,,,,,,,315,190,72,53,,,,,,,,46084.1,26141.5,22785.7,,,,,,,,,,,,,,,,,,hr,age and race-center,1.00,,,0.76,0.58,1.00,0.66,0.48,0.89,,,,,,,,,,,,,,,,,,,,,,"age, race-field center, cigarette-years, educational level, waist-to-hip ratio, systolic blood pressure, antihypertensive medication use, diabetes, left ventricular hypertrophy, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, lipoprotein(a), fibrinogen, van Willebrand factor and white blood cell count",1,,,0.84,0.63,1.11,0.78,0.57,1.07,,,,,,,,,,,,,,,,,,,,,,,model 1 and fully adjusted model was included,,,,,,,
Atherosclerosis Risk in Communities Study,Autenrieth et al,2013,5,US,Prospective cohort study,"members of ARIC study, a prospective population-based cohort study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",7443,0,0.00,2,"6 rows - 3 for LTPA: total, m, f",,,,,,,,LTPA,,,,,,18.80,,81479.5,stroke,incidence,"If a CT or MRI revealed acute brain infarction or showed no evidence of hemorrhage, a stroke was categorized as ischemic.",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.63,16.88,,,,,,,,0.00,4.38,13.13,,,,,,,,1,0.00,4.38,13.13,,,,,,,0.00,3.13,9.38,,,,,,,333,240,63,30,,,,,,,,81479.5,31512.3,17987.6,,,,,,,,,,,,,,,,,,hr,age and race-center,1.00,,,0.89,0.67,1.19,0.74,0.50,1.08,,,,,,,,,,,,,,,,,,,,,,"age, race-field center, cigarette-years, educational level, waist-to-hip ratio, systolic blood pressure, antihypertensive medication use, diabetes, left ventricular hypertrophy, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, lipoprotein(a), fibrinogen, van Willebrand factor and white blood cell count",1,,,1.05,0.79,1.41,0.87,0.59,1.28,,,,,,,,,,,,,,,,,,,,,,,model 1 and fully adjusted model was included,,,,,,,
Atherosclerosis Risk in Communities Study,Autenrieth et al,2013,5,US,Prospective cohort study,"members of ARIC study, a prospective population-based cohort 
study comprising 15,792 adults aged 45–64 years ","Cohort participants were selected from four US 
communities: Forsyth County, N.C.; Jackson, Miss.; Minneapolis, Minn., and Washington County, Md. Participants completed the 
first exam between 1987 and 1989.",13069,1,0.44,3,"6 rows - 3 for TPA: total, m, f",54.00,5.8,,,,,,TPA,,,,,,18.80,,127263.5,stroke,incidence,"  Evidence of stroke was ascertained via hospital reports if the discharge diagnosis contained a cerebrovascular disease code (International Classification of Diseases, 9th Revision codes 430–438), if a cerebrovascular procedure was noted in the discharge summary, or if the computed tomography (CT) or magnetic resonance imaging (MRI) report showed evidence of cerebrovascular 
disease. Medical records for potential stroke events were then sent to a central ARIC office for abstraction by a single nurse. Each record was abstracted for number, type, and severity of neurological deficits and supporting angiographic, CT, MRI, spinal tap, or autopsy evidence. Each suspected stroke event was classified by National Survey of Stroke criteria using a computer algorithm as well as a physician reviewer .",questionnaire,min/week,"minutes per week of exercise were classified according to the American Heart Association’s ideal cardiovascular health guidelines for adults aged 20 years and above. Poor 
physical activity was def ined as 0 min/week of moderate or vigorous exercise. Intermediate physical activity was defined as 1–149 min/week of moderate intensit y or 1–74 min/week of v igorous intensity or 1–149 min/week of moderate and vigorous intensity. Ideal physical activity was defined as ?  150 min/week of 
moderate intensity or ? 75 min/week of vigorous intensity or ? 150 min/week of moderate and vigorous intensity. 
",,,,poor PA,Intermediate PA,Ideal PA,,,,,,,,0.00,5.63,16.88,,,,,,,,0.00,4.38,13.13,,,,,,,,1,0.00,4.38,13.13,,,,,,,0.00,3.13,9.38,,,,,,,740,496,147,97,,,,,,,,127263.5,57604,40703.3,,,,,,,,,,,,,,,,,,hr,"age, sex and race-center",1.00,,,0.78,0.65,0.95,0.72,0.57,0.90,,,,,,,,,,,,,,,,,,,,,,"age, sex, race-field center, cigarette-years, educational level, waist-to-hip ratio, systolic blood pressure, antihypertensive medication use, diabetes, left ventricular hypertrophy, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol, lipoprotein(a), fibrinogen, van Willebrand factor and white blood cell count",1,,,0.89,0.73,1.07,0.85,0.68,1.07,,,,,,,,,,,,,,,,,,,,,,,model 1 and fully adjusted model was included,,,,,,,
