dose,RR
0,1
1,0.966581065
2,0.934626837
3,0.904402122
4,0.8761328
5,0.850011946
6,0.826206338
7,0.804863253
8,0.786117458
9,0.770056552
10,0.756506428
11,0.745214632
12,0.735957338
13,0.728534612
14,0.722766124
15,0.718487483
16,0.715547072
17,0.71380332
18,0.713122333
19,0.713375842
20,0.714439426
21,0.716190983
22,0.718509431
23,0.721273628
24,0.724361496
25,0.727649358
26,0.731014809
27,0.73439795
28,0.737796749
29,0.741211278
30,0.744641609
31,0.748087815
32,0.751549971
33,0.75502815
34,0.758522425
35,0.762032873
36,0.765559566
37,0.769102581
38,0.772661993
39,0.776237879
40,0.779830313
41,0.783439373
42,0.787065136
43,0.790707679
44,0.79436708
45,0.798043416
46,0.801736767
47,0.80544721
48,0.809174826
49,0.812919693
50,0.816681891
51,0.816681891
52,0.816681891
53,0.816681891
54,0.816681891
55,0.816681891
56,0.816681891
57,0.816681891
58,0.816681891
59,0.816681891
60,0.816681891
61,0.816681891
62,0.816681891
63,0.816681891
64,0.816681891
65,0.816681891
66,0.816681891
67,0.816681891
68,0.816681891
69,0.816681891
70,0.816681891
71,0.816681891
72,0.816681891
73,0.816681891
74,0.816681891
75,0.816681891
76,0.816681891
77,0.816681891
78,0.816681891
79,0.816681891
80,0.816681891
81,0.816681891
82,0.816681891
83,0.816681891
84,0.816681891
85,0.816681891
86,0.816681891
87,0.816681891
88,0.816681891
89,0.816681891
90,0.816681891
91,0.816681891
92,0.816681891
93,0.816681891
94,0.816681891
95,0.816681891
96,0.816681891
97,0.816681891
98,0.816681891
99,0.816681891
100,0.816681891
101,0.816681891
102,0.816681891
103,0.816681891
104,0.816681891
105,0.816681891
106,0.816681891
107,0.816681891
108,0.816681891
109,0.816681891
110,0.816681891
111,0.816681891
112,0.816681891
113,0.816681891
114,0.816681891
115,0.816681891
116,0.816681891
117,0.816681891
118,0.816681891
119,0.816681891
120,0.816681891
121,0.816681891
122,0.816681891
123,0.816681891
124,0.816681891
125,0.816681891
126,0.816681891
127,0.816681891
128,0.816681891
129,0.816681891
130,0.816681891
131,0.816681891
132,0.816681891
133,0.816681891
134,0.816681891
135,0.816681891
136,0.816681891
137,0.816681891
138,0.816681891
139,0.816681891
140,0.816681891
141,0.816681891
142,0.816681891
143,0.816681891
144,0.816681891
145,0.816681891
146,0.816681891
147,0.816681891
148,0.816681891
149,0.816681891
150,0.816681891
151,0.816681891
152,0.816681891
153,0.816681891
154,0.816681891
155,0.816681891
156,0.816681891
157,0.816681891
158,0.816681891
159,0.816681891
160,0.816681891
161,0.816681891
162,0.816681891
163,0.816681891
164,0.816681891
165,0.816681891
166,0.816681891
167,0.816681891
168,0.816681891
169,0.816681891
170,0.816681891
171,0.816681891
172,0.816681891
173,0.816681891
174,0.816681891
175,0.816681891
176,0.816681891
177,0.816681891
178,0.816681891
179,0.816681891
180,0.816681891
181,0.816681891
182,0.816681891
183,0.816681891
184,0.816681891
185,0.816681891
186,0.816681891
187,0.816681891
188,0.816681891
189,0.816681891
190,0.816681891
191,0.816681891
192,0.816681891
193,0.816681891
194,0.816681891
195,0.816681891
196,0.816681891
197,0.816681891
198,0.816681891
199,0.816681891
200,0.816681891
201,0.816681891
202,0.816681891
203,0.816681891
204,0.816681891
205,0.816681891
206,0.816681891
207,0.816681891
208,0.816681891
209,0.816681891
210,0.816681891
